Genome,Completeness,Contamination,medium_quality.pass,near_complete.pass,medium_quality_gunc.pass,near_complete_gunc.pass,QS50,QS50.pass,pass.GUNC,QS50_gunc.pass,classification
SRR6915091_MB2.14,91.77,0.55,True,True,True,True,89.02,True,True,True,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini
SRR6915091_MB2.16,93.32,6.58,True,False,False,False,60.42,True,False,False,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
SRR6915091_MB2.17,70.82,2.2,True,False,True,False,59.81999999999999,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans
SRR6915091_MB2.18_sub,64.01,9.25,True,False,False,False,17.760000000000005,True,False,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
SRR6915091_MB2.24,97.34,0.15,True,True,True,True,96.59,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
SRR6915091_MB2.4,94.51,0.86,True,True,True,True,90.21,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
SRR6915091_MB2.5,80.67,1.88,True,False,True,False,71.27000000000001,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
SRR6915091_human_gut_SB2_0,65.65,0.0,True,False,True,False,65.65,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
SRR6915091_human_gut_SB2_14,100.0,0.36,True,True,True,True,98.2,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
SRR6915091_human_gut_SB2_15,66.14,1.04,True,False,False,False,60.94,True,False,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter pullicola
SRR6915091_human_gut_SB2_19,95.75,2.8,True,True,True,True,81.75,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis
SRR6915091_human_gut_SB2_2,74.14,0.05,True,False,True,False,73.89,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis
SRR6915091_human_gut_SB2_4,84.4,0.83,True,False,True,False,80.25,True,True,True,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
SRR6915092_MB2.11,96.57,2.32,True,True,True,True,84.97,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__SFMI01;s__SFMI01 sp004556155
SRR6915092_MB2.12,85.24,1.14,True,False,True,False,79.53999999999999,True,True,True,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp905187815
SRR6915092_MB2.13_sub,56.06,1.18,True,False,False,False,50.16,True,False,False,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis
